#{"t_start": 1779676041.1555843, "env_id": "None"}
r,l,t
-0.63661015,64,11.675065
9.356609,64,11.675065
-0.63828856,64,11.67609
9.358288,64,11.67609
-0.6356106,64,11.67609
9.355611,64,11.67609
-0.6425717,64,11.67609
9.362572,64,11.67609
-0.63991606,64,11.677113
9.359916,64,11.677113
-0.63839865,64,11.677113
9.358399,64,11.677113
-0.6402459,64,11.677658
9.360246,64,11.677658
-0.6376893,64,11.677658
9.35769,64,11.677658
-0.64407545,64,11.677658
9.364075,64,11.677658
-0.65828156,66,23.360633
9.338282,66,23.362249
-0.65031695,66,23.362249
9.3303175,66,23.362249
-0.66822326,66,23.363268
9.348224,66,23.363268
-0.6564717,66,23.363268
9.336472,66,23.363268
-0.6729751,66,23.363268
9.352976,66,23.363268
-0.6562769,66,23.363268
9.336277,66,23.363268
-0.65575874,66,23.363268
9.335758,66,23.363268
-0.64729404,66,23.363268
9.327294,66,23.363268
-0.66044486,66,23.363268
9.3404455,66,23.363268
-0.6551082,65,33.443404
9.355108,65,33.443404
-0.6613946,65,33.443404
9.361395,65,33.443404
-0.64655995,65,33.443404
9.34656,65,33.443404
-0.6509554,65,33.443404
9.350956,65,33.443404
-0.63711095,65,33.443404
9.337111,65,33.443404
-0.65493274,65,33.443404
9.354933,65,33.443404
-0.65438735,65,33.443404
9.354387,65,33.443404
-0.6650168,65,33.443404
9.365016,65,33.443404
-0.6458734,65,33.443404
9.345873,65,33.443404
-0.66059136,66,43.662107
9.340591,66,43.663218
-0.66741914,66,43.663218
9.347419,66,43.663218
-0.6530471,66,43.663218
9.333048,66,43.663218
-0.66306335,66,43.663218
9.343063,66,43.663218
-0.6581501,66,43.663218
9.33815,66,43.663218
-0.66251093,66,43.663218
9.34251,66,43.663218
-0.66135347,66,43.663218
9.341353,66,43.663218
-0.65215826,66,43.663218
9.332159,66,43.664212
-0.66096735,66,43.664212
9.340968,66,43.664212
-0.6441317,66,53.974355
9.324132,66,53.974355
-0.656601,66,53.974355
9.336601,66,53.974355
-0.65186423,66,53.974355
9.331864,66,53.974355
-0.66205823,66,53.974355
9.342058,66,53.974355
-0.6481793,66,53.974355
9.328178,66,53.974355
-0.6480068,66,53.974355
9.328007,66,53.974355
-0.66799694,66,53.974355
9.347997,66,53.974355
-0.6535001,66,53.974355
9.3335,66,53.974355
-0.6480262,66,53.974355
9.328027,66,53.974355
-0.6651543,65,64.089879
9.365154,65,64.089879
-0.6461312,65,64.089879
9.346132,65,64.089879
-0.6645007,65,64.090878
9.3645,65,64.090878
-0.6449038,65,64.090878
9.344904,65,64.090878
-0.6635994,65,64.090878
9.3636,65,64.090878
-0.65990955,65,64.090878
9.35991,65,64.090878
-0.63915634,65,64.090878
9.339156,65,64.090878
-0.66439927,65,64.090878
9.3644,65,64.090878
-0.6606236,65,64.090878
9.360623,65,64.090878
-0.6533564,66,74.320976
9.333357,66,74.320976
-0.6577763,66,74.320976
9.337777,66,74.320976
-0.65244967,66,74.320976
9.33245,66,74.320976
-0.664267,66,74.320976
9.344267,66,74.322069
-0.6592001,66,74.322069
9.3392,66,74.322069
-0.65318453,66,74.322069
9.333184,66,74.322069
-0.65828073,66,74.322069
9.338281,66,74.322069
-0.66503584,66,74.322069
9.345036,66,74.322069
-0.6599641,66,74.322069
9.339964,66,74.322069
-0.6653992,66,84.521824
9.345399,66,84.521824
-0.6764765,66,84.521824
9.356476,66,84.521824
-0.6677444,66,84.521824
9.347744,66,84.521824
-0.6560713,66,84.521824
9.336071,66,84.521824
-0.65536124,66,84.521824
9.3353615,66,84.521824
-0.6729238,66,84.521824
9.352924,66,84.522826
-0.656996,66,84.522826
9.336995,66,84.522826
-0.6490215,66,84.522826
9.329022,66,84.522826
-0.6655626,66,84.522826
9.345562,66,84.522826
-0.6512711,65,94.617549
9.351272,65,94.618668
-0.634441,65,94.618668
9.334441,65,94.618668
-0.65028054,65,94.618668
9.350281,65,94.618668
-0.64881706,65,94.618668
9.348817,65,94.618668
