#{"t_start": 1779674134.795204, "env_id": "None"}
r,l,t
-13.825314,383,238.138228
7.1271286,376,245.136094
-13.74595,376,245.136094
9.959412,95,253.585199
-11.063172,95,253.585199
8.743424,215,258.651016
-12.14694,215,258.651016
9.444501,148,267.647845
-11.47954,148,267.648963
9.466158,135,274.366029
-11.2395,135,274.366029
7.008931,392,278.762471
-13.926253,392,278.762471
5.635455,525,284.812938
-15.244045,525,284.812938
9.330713,160,293.159502
-11.612167,160,293.159502
9.676228,121,297.69284
-11.20483,121,297.69284
0.22322273,1067,304.308503
-20.673698,1067,304.310109
9.833014,105,308.57602
-11.042227,105,308.57602
9.892386,101,313.976841
-11.00968,101,313.976841
8.491422,237,322.004585
-12.3695,237,322.005599
7.4732227,343,327.071705
-13.429536,343,327.071705
10.128331,75,333.468598
-10.747074,75,333.468598
9.235977,167,339.069079
-11.672817,167,339.069079
8.561765,234,345.401901
-12.177759,234,345.401901
9.295365,164,353.283994
-11.634928,164,353.284628
2.809888,812,357.549754
-18.099686,812,357.550753
10.273807,65,363.332517
-10.659749,65,363.332517
-3.9662342,1490,369.199244
-24.914688,1490,369.199244
8.236091,269,374.997186
-12.687188,269,374.997186
9.818181,110,379.396786
-11.093527,110,379.396786
8.510959,257,385.328882
-12.7322445,257,385.328882
5.2224216,568,392.693936
-15.677802,568,392.693936
7.1927686,371,396.95766
-13.720358,371,396.95766
10.269172,66,402.858908
-10.668525,66,402.860011
8.840162,208,406.857867
-12.072174,208,406.857867
10.209652,67,413.174741
-10.662109,67,413.174741
10.237664,64,416.776428
-10.648502,64,416.776428
9.202673,169,423.6357
-11.671627,169,423.636817
10.133071,77,428.435989
-10.769219,77,428.435989
7.8093452,310,433.652163
-13.087054,310,433.653771
7.03218,385,439.119907
-13.8557205,385,439.119907
9.509907,138,444.934215
-11.374379,138,444.934215
10.165629,73,451.650067
-10.728943,73,451.650948
9.393363,155,457.115341
-11.550642,155,457.115341
-0.63979864,65,467.200241
9.339799,65,467.200241
-1.4458208,146,467.200241
8.52582,146,467.200754
-1.0557771,106,467.200754
8.935778,106,467.200754
-6.295593,630,467.200754
3.6955895,630,467.200754
-21.190582,2120,467.200754
-11.209475,2120,467.20177
-3.5168498,352,467.20177
6.4768524,352,467.20177
-2.4776235,248,467.20177
7.517625,248,467.20177
-13.4265785,1343,467.20177
-3.433463,1343,467.20177
-7.051153,707,467.20177
2.9111495,707,467.20177
10.666772,26,472.063099
-10.258674,26,472.063099
10.260744,61,476.729052
-10.59006,61,476.729052
9.873613,103,483.759543
-11.027664,103,483.759543
10.088733,85,490.893111
-10.870278,85,490.893111
10.066122,86,496.62721
-10.853062,86,496.62721
8.879023,202,503.207201
-12.0315895,202,503.207201
9.992413,86,510.906848
-10.866939,86,510.906848
9.083516,181,517.83765
-11.809347,181,517.83765
7.129963,378,526.037259
-13.777195,378,526.037259
8.925577,196,533.651511
-11.950005,196,533.651511
9.548609,135,538.718348
-11.350732,135,538.718978
8.641495,227,545.468812
-12.273861,227,545.468812
9.798096,112,551.398514
-11.095337,112,551.398514
5.1904106,565,555.266056
-15.645385,565,555.266056
10.264103,68,561.883274
-10.707962,68,561.8843
4.551622,636,566.147014
-16.37085,636,566.147014
10.315863,61,571.394167
-10.596393,61,571.394167
8.762008,214,578.194016
-12.014471,214,578.194016
3.4234142,749,583.976176
-17.489624,749,583.976176
