#{"t_start": 1779675136.2484598, "env_id": "None"}
r,l,t
-0.64042866,64,11.740479
9.360429,64,11.740479
-0.6381357,64,11.741069
9.358135,64,11.741069
-0.64252365,64,11.741069
9.362523,64,11.741069
-0.63592887,64,11.741069
9.355928,64,11.741069
-0.6420917,64,11.741069
9.362092,64,11.741069
-0.64044446,64,11.741069
9.360445,64,11.741069
-0.6353284,64,11.741069
9.355328,64,11.741069
-0.64430267,64,11.741069
9.364303,64,11.741069
-0.63787663,64,11.741069
9.357877,64,11.741069
-0.6636162,66,22.611567
9.3436165,66,22.611567
-0.65425354,66,22.611567
9.334253,66,22.611567
-0.6526382,66,22.613562
9.332639,66,22.613562
-0.65621936,66,22.613562
9.33622,66,22.613562
-0.6488058,66,22.613562
9.328806,66,22.613562
-0.65628964,66,22.613562
9.336289,66,22.613562
-0.6588162,66,22.613562
9.338816,66,22.613562
-0.65844846,66,22.613562
9.338449,66,22.613562
-0.66956145,66,22.613562
9.349562,66,22.613562
-0.6507244,66,32.843653
9.330724,66,32.844763
-0.6605958,66,32.844763
9.340596,66,32.844763
-0.6655731,66,32.844763
9.345573,66,32.844763
-0.64435625,66,32.844763
9.324356,66,32.844763
-0.6835002,66,32.844763
9.363501,66,32.844763
-0.6449355,66,32.844763
9.324935,66,32.844763
-0.67907137,66,32.844763
9.359072,66,32.844763
-0.6403156,66,32.844763
9.320315,66,32.844763
-0.64976794,66,32.844763
9.329767,66,32.844763
-0.65577316,65,42.942875
9.355773,65,42.942875
-0.65609944,65,42.942875
9.3561,65,42.942875
-0.64922994,65,42.942875
9.34923,65,42.942875
-0.6752181,65,42.942875
9.375218,65,42.942875
-0.6344824,65,42.942875
9.334482,65,42.942875
-0.6696309,65,42.943991
9.36963,65,42.943991
-0.63579834,65,42.943991
9.335798,65,42.943991
-0.6668889,65,42.943991
9.366889,65,42.943991
-0.6524309,65,42.943991
9.35243,65,42.943991
-0.65837276,66,53.141505
9.338373,66,53.141505
-0.66232395,66,53.141505
9.342324,66,53.141505
-0.65240294,66,53.141505
9.332402,66,53.142583
-0.6602614,66,53.142583
9.340261,66,53.142583
-0.6619836,66,53.142583
9.341984,66,53.142583
-0.6524239,66,53.142583
9.332424,66,53.142583
-0.66532046,66,53.142583
9.345322,66,53.142583
-0.6516949,66,53.142583
9.331696,66,53.142583
-0.6608984,66,53.142583
9.340898,66,53.142583
-0.6510849,65,63.273501
9.351085,65,63.273501
-0.6485917,65,63.273501
9.348593,65,63.273501
-0.6580259,65,63.273501
9.358026,65,63.273501
-0.6480161,65,63.273501
9.348015,65,63.273501
-0.64913666,65,63.273501
9.349137,65,63.273501
-0.6562759,65,63.273501
9.356276,65,63.273501
-0.64527166,65,63.273501
9.345272,65,63.274498
-0.6584526,65,63.274498
9.358452,65,63.274498
-0.6498569,65,63.274498
9.349856,65,63.274498
-0.65867865,66,73.478359
9.338678,66,73.478359
-0.66454405,66,73.478359
9.344544,66,73.478359
-0.65725976,66,73.478359
9.337259,66,73.478359
-0.65959096,66,73.478359
9.339591,66,73.478359
-0.6617917,66,73.478359
9.341791,66,73.479354
-0.6601998,66,73.479354
9.340199,66,73.479354
-0.66048884,66,73.479354
9.340489,66,73.479354
-0.6575757,66,73.479354
9.337576,66,73.479354
-0.6591829,66,73.479354
9.339183,66,73.479354
-0.64795387,66,83.684188
9.327953,66,83.685299
-0.6505849,66,83.685299
9.3305855,66,83.685299
-0.660248,66,83.685299
9.340248,66,83.685299
-0.6560072,66,83.685299
9.336007,66,83.685299
-0.647279,66,83.685299
9.327279,66,83.685299
-0.65668494,66,83.685299
9.336684,66,83.685299
-0.6448237,66,83.685299
9.324824,66,83.685299
-0.6664451,66,83.685299
9.346445,66,83.685299
-0.6507062,66,83.685299
9.330706,66,83.685299
-0.66336745,65,93.865218
9.363368,65,93.865218
-0.6544774,65,93.865218
9.354478,65,93.865218
-0.65210056,65,93.865218
9.3521,65,93.865218
-0.6538514,65,93.865218
9.353852,65,93.865218
-0.6609374,65,93.865218
9.360937,65,93.865218
-0.6531152,65,93.865218
9.353115,65,93.865218
-0.66508114,65,93.865218
9.365082,65,93.865218
-0.6466619,65,93.865218
9.3466625,65,93.865218
-0.6593254,65,93.865218
9.359326,65,93.865218
10.363134,57,103.032389
-10.553711,57,103.03349
-1.219059,122,113.141453
8.779058,122,113.141453
-1.219804,122,113.141453
8.779804,122,113.141453
-1.215757,122,113.141453
8.775757,122,113.141453
-1.2232265,122,113.141453
8.783226,122,113.141453
-1.217164,122,113.141453
8.777164,122,113.141453
-0.63350385,65,113.141453
9.333505,65,113.142969
-1.2156614,122,113.142969
8.775661,122,113.142969
-1.2212633,122,113.142969
8.781264,122,113.142969
-1.220892,122,113.142969
8.780891,122,113.142969
-0.6566552,66,123.329071
9.336655,66,123.329071
-0.65321875,66,123.329071
9.333219,66,123.329071
-0.6552576,66,123.329071
9.335258,66,123.329071
-0.65205294,66,123.329071
9.332053,66,123.329071
-0.65341336,66,123.329071
9.333413,66,123.329071
-0.65283024,66,123.329071
9.33283,66,123.330191
-0.65829974,66,123.330191
9.338301,66,123.330191
-0.66865325,66,123.330191
9.348654,66,123.330191
-0.66452837,66,123.330191
9.344528,66,123.330191
10.46074,43,129.059228
-10.432176,43,129.059228
-0.68581796,66,139.260058
9.365819,66,139.260058
-1.1029594,109,139.261056
8.92296,109,139.261056
-1.1181016,109,139.261056
8.938102,109,139.261056
-1.0730755,109,139.261056
8.893076,109,139.261056
-1.1005766,109,139.261056
8.920577,109,139.261056
-1.1107882,109,139.261056
8.930788,109,139.261056
-1.092091,109,139.261056
8.912091,109,139.261056
-1.0659711,109,139.261056
8.885971,109,139.261056
-1.0856472,109,139.261056
8.905647,109,139.261966
-0.6302437,65,149.332924
9.330244,65,149.332924
-0.64669645,65,149.332924
9.346697,65,149.332924
-0.63028127,65,149.332924
9.330282,65,149.332924
-0.6700576,65,149.332924
9.370057,65,149.333925
-0.64755946,65,149.333925
9.34756,65,149.333925
-0.63901526,65,149.333925
9.339015,65,149.333925
-0.65485126,65,149.333925
9.354852,65,149.333925
-0.6615452,65,149.333925
9.361546,65,149.333925
-0.64867115,65,149.333925
9.348671,65,149.333925
-0.6620128,66,159.655915
9.342013,66,159.655915
-0.66222614,66,159.655915
9.342226,66,159.655915
-0.66328424,66,159.655915
9.343285,66,159.655915
-0.6509137,66,159.655915
9.3309145,66,159.655915
-0.65235853,66,159.655915
9.332358,66,159.655915
-0.6545603,66,159.655915
9.33456,66,159.655915
-0.6636926,66,159.656911
9.343693,66,159.656911
-0.6510303,66,159.656911
9.33103,66,159.656911
-0.6618568,66,159.656911
9.341857,66,159.656911
10.476373,43,166.815056
-10.416779,43,166.815056
10.06482,83,173.670951
-10.832004,83,173.670951
-0.66040546,66,183.884846
9.340405,66,183.884846
-1.481847,149,183.884846
8.501847,149,183.884846
-1.4845695,149,183.884846
8.504571,149,183.884846
-1.5050609,149,183.884846
8.525061,149,183.884846
-1.5033257,149,183.884846
8.523326,149,183.884846
-1.490454,149,183.884846
8.510455,149,183.884846
-1.4857805,149,183.884846
8.505781,149,183.884846
-1.0513378,106,183.884846
8.931338,106,183.884846
-1.4854836,149,183.886463
8.505484,149,183.886463
10.403544,47,190.149751
-10.465895,47,190.150753
-1.1336919,113,200.431746
8.873692,113,200.431746
-1.1291056,113,200.431746
8.869105,113,200.431746
-1.126929,113,200.431746
8.86693,113,200.431746
-1.1167545,113,200.431746
8.856755,113,200.431746
-1.1147833,113,200.433209
8.854783,113,200.433209
-0.6513205,66,200.433209
9.33132,66,200.433209
-1.1303228,113,200.433209
8.870324,113,200.433209
-1.1363375,113,200.433209
8.876338,113,200.433209
-1.133885,113,200.433209
8.873886,113,200.433209
10.460478,44,207.713432
-10.476659,44,207.713432
9.978685,88,215.018811
-10.869835,88,215.018811
9.649927,128,220.328256
-11.284639,128,220.329272
10.098643,80,227.077161
-10.803293,80,227.077161
8.699952,223,235.825592
-12.228106,223,235.825592
8.569537,229,243.908003
-12.262852,229,243.908003
9.467124,145,249.240803
-11.445555,145,249.240803
10.0324955,88,257.071707
-10.850077,88,257.071707
6.6517115,420,266.337998
-14.200177,420,266.337998
6.180475,464,273.60087
-14.63098,464,273.60087
10.031964,87,279.335159
-10.871988,87,279.335159
9.135781,179,285.200362
-11.805872,179,285.200362
7.2665243,359,292.338414
-13.590083,359,292.338414
4.643491,628,298.463708
-16.27682,628,298.46471
4.0932817,681,306.944526
-16.802265,681,306.944526
9.0998955,180,313.546003
-11.8,180,313.546003
8.953859,197,322.84218
-11.960456,197,322.84379
9.962099,92,327.242094
-10.920194,92,327.242094
7.3292665,357,335.584557
-13.570444,357,335.584557
9.894736,101,343.523371
-11.007067,101,343.523371
1.392911,950,348.456022
-19.490232,950,348.456022
2.2678347,863,355.339415
-18.623829,863,355.339415
9.696342,121,362.470424
-11.217081,121,362.470424
10.054625,85,368.067266
-10.863058,85,368.067266
7.5124903,340,375.215924
-13.425486,340,375.215924
10.070084,81,381.669337
-10.805343,81,381.669337
1.9421024,896,388.598691
-18.95921,896,388.598691
5.0949416,584,397.480985
-15.854234,584,397.480985
8.273081,263,403.144221
-12.626389,263,403.144221
8.726672,216,408.211159
-12.13529,216,408.211159
8.785967,209,413.744698
-12.086674,209,413.744698
9.423958,147,421.357652
-11.464209,147,421.357652
9.369192,152,426.291896
-11.518575,152,426.291896
9.466133,146,431.95841
-11.469019,146,431.95841
10.23596,70,437.023896
-10.662153,70,437.023896
7.456669,346,443.256059
-13.454767,346,443.256059
3.6402683,727,448.055363
-17.267326,727,448.055363
10.217895,68,453.76432
-10.685225,68,453.76432
9.119535,177,458.433006
-11.775171,177,458.433006
9.827705,105,464.902236
-11.050826,105,464.902236
7.6882954,322,471.405406
-13.21815,322,471.405981
6.865292,407,476.598217
-14.070377,407,476.598217
9.353314,151,482.803812
-11.501009,151,482.803812
9.448654,145,487.076693
-11.448641,145,487.076693
7.377262,356,493.013647
-13.599543,356,493.013647
9.83552,103,497.945339
-11.025347,103,497.945339
10.177142,72,504.010835
-10.719632,72,504.011945
8.756669,211,508.947787
-12.075785,211,508.94889
9.140893,177,514.893815
-11.771027,177,514.893815
-0.15883064,1105,521.23383
-21.065979,1105,521.23383
6.106241,480,527.624779
-14.802389,480,527.624779
8.94826,192,533.841035
